Read Length	Frequency
100	200972
97	26295
95	5941
89	4636
64	2877
99	27205
98	101247
84	3804
45	2148
85	3968
71	3385
43	2209
93	5052
79	3527
61	2789
91	4905
96	10781
60	2657
101	3336057
37	4124
72	3444
52	2061
87	4216
78	3436
48	2182
74	3346
70	3245
86	4119
57	2267
42	2403
80	3552
76	3251
92	4971
90	4649
68	3103
94	5160
46	2117
55	2212
77	3684
81	3530
39	2973
63	2922
35	4740
83	3839
65	2890
38	3590
58	2454
49	2050
73	3424
59	2593
54	2229
66	2990
36	4613
75	3422
56	2339
41	2509
67	3005
44	2059
62	2822
47	2074
82	3652
50	2047
88	4250
53	2160
51	2043
69	3117
40	2794
