Read Length	Frequency
100	1999760
76	36497
97	271045
99	222886
92	51719
87	44116
94	55569
81	36335
88	45204
90	48520
38	73977
98	934634
93	53069
47	30483
49	29539
79	38379
96	101617
89	46530
51	29031
65	36384
54	29537
80	36918
73	40683
95	61650
77	43863
62	36637
60	35052
43	32285
64	36280
71	49211
36	110703
91	51783
67	37610
58	33128
61	35832
72	39622
75	38134
69	37100
66	36550
57	32195
63	36784
45	31764
74	38625
82	37471
40	47207
68	37040
70	38670
46	30030
83	39388
78	38342
42	35467
52	29118
41	39577
85	41318
39	52101
56	31742
84	40336
37	92515
59	34531
53	29657
48	29923
55	31146
86	42966
44	31929
101	34738917
50	28573
